corp_name,corp_code,stock_code,ceo_name,industry_code
에이치엘디앤아이한라(주),00161116,014790,홍석화,41221
(주)쏘카,01026157,403550,박재욱,76110
케이비아이동국실업(주),00114765,001620,김용희,303
(주)에이피알,01190568,278470,김병훈,20423
웰바이오텍(주),00141273,010600,김한국,461
태경산업(주),00153339,015890,"김해련, 박충기, 김민정 (각자 대표이사)",20129
(주)알루코,00117027,001780,박진우,24222
(주)한창,00163716,005110,이동우,465
SK이터닉스(주),01817081,475150,김해중,411
동국제강(주),01765265,460860,최삼영,241
엔에이치투자증권(주),00120182,005940,윤병운,66121
진흥기업(주),00150828,002780,김태균,41221
에스케이하이닉스(주),00164779,000660,곽노정,2612
한솔홀딩스(주),00171636,004150,이명길,64992
SK(주),00181712,034730,"최태원, 장용호",64992
JW홀딩스(주),00632304,096760,"이경하, 차성남",64992
효성아이티엑스(주),00414850,094280,"남경환, 홍혜진(각자대표이사)",759
(주)신한알파위탁관리부동산투자회사,01276594,293940,이준구,6811
삼성이앤에이(주),00126308,028050,남궁홍,72129
(주)서연,00163114,007860,유양석,64992
주식회사 시알홀딩스,00148984,000480,강문수,2321
(주)인바이오젠,00652423,101140,강지연,46510
삼영무역(주),00127167,002810,이승용,46739
(주)보령,00123143,003850,김정균,212
(주)경보제약,00101664,214390,김태영,211
(주)한진칼,00983040,180640,"조원태, 류경표",64992
프레스티지바이오파마,01510489,950210,박소연,70113
디엘이앤씨 주식회사,01524093,375500,박상신,412
에스케이스퀘어 주식회사,01596425,402340,한명진,64992
(주)케이씨,00209780,029460,"고상걸, 권홍빈(각자대표이사)",27216
(주)대유에이텍,00149804,002880,임근호,303
아진전자부품(주),00111689,009320,"서중호,문종은",303
케이씨코트렐(주),00797364,119650,박기서,291
삼화왕관(주),00129235,004450,고기영,25991
(주)상상인증권,00112059,001290,주 원,66121
에스제이지세종(주),00134510,033530,"최정연, 이동원 (각자 대표이사)",303
(주)하이브,01204056,352820,이재상,592
(주)한화,00160588,000880,"김동관, 김승모, 양기원",20494
롯데손해보험(주),00113562,000400,이은호,65121
호전실업 주식회사,00226316,111110,박용철 박진호,14199
진양폴리우레탄(주),00160375,010640,최재호,22259
현대모비스(주),00164788,012330,"정의선, 이규석",303
(주)성안머티리얼스,00132868,011300,임종찬,13213
(주)두올,00119672,016740,"조인회, 정재열",303
(주)포스코인터내셔널,00124504,047050,대표이사 사장 이계인,461
